Artist,Title,Album
999,Homicide,The Early Stuff
…And You Will Know Us By The Trail Of Dead,"How Near, How Far",Source Tags & Codes
13th Floor Elevators,You're Gonna Miss Me,The Psychedelic Sounds Of…
16 Horsepower,Praying Arm Lane,Secret South
6ths (feat. Mary Timony),All Dressed Up In Dreams,Wasps' Nests
7 Seconds,99 Red Balloons (by Nena),"Walk Together, Rock Together"
7 Seconds,Young Til I Die,The Crew
7 Year Bitch,The Scratch,Viva Zapata!
Action Swingers,Kicked In The Head,Quit While You're Ahead
"Adams, Ryan",Come Pick Me Up,Heartbreaker
"Adams, Ryan",Magnolia Mountain,Cold Roses
"Adams, Ryan","To Be Young (Is To Be Sad, Is To Be High)",Heartbreaker
Adolescents,Amoeba,Adolescents
Adorable,Sunshine Smile,Sunshine Smile
Adverts,Gary Gilmore's Eyes,Gary Gilmore's Eyes single
Aesop Rock,Coffee,None Shall Pass
Afghan Whigs,Miles Iz Ded,Congregation
Afghan Whigs,My Curse,Gentlemen
Against Me!,Black Me Out,Transgender Dysphoria Blues
Against Me!,Cliche Guevara,As The Eternal Cowboy
Against Me!,FuckMyLife666,Transgender Dysphoria Blues
Against Me!,I Was A Teenage Anarchist,Whie Crosses
Against Me!,Pints Of Guinness Make You Strong,Reinventing Axl Rose
Against Me!,Reinventing Axl Rose,Reinventing Axl Rose
Against Me!,True Trans Soul Rebel,Transgender Dysphoria Blues
Agent Orange,Bloodstains,Living In Darkness
Air Miami,I Hate Milk,Me. Me. Me.
AJJ,"Hate, Rain On Me",Knife Man
AJJ,People II: The Reckoning,People Who Can Eat People Are The Luckiest People In The World
AJJ,Scenesters,Candy Cigarettes & Cap Guns
Alkaline Trio,Clavicle,Goddamnit
Alkaline Trio,Maybe I'll Catch Fire,Maybe I'll Catch Fire
Alkaline Trio,Radio,Maybe I'll Catch Fire
Alkaline Trio,San Francisco,Goddamnit
ALL,Dot,Percolator
ALL,Nothin',Percolator
ALL,Postage,Allroy For Prez
Allo Darlin',My Heart Is A Drummer,Allo Darlin'
Alvvays,Adult Diversion,Alvvays
Alvvays,"Archie, Marry Me",Alvvays
Alvvays,Belinda Says,Blue Rev
Alvvays,Dreams Tonite,Antisocialites
Alvvays,In Undertow,Antisocialites
American Football,Never Meant,American Football
American Nightmare,AM/PM,Background Music
Amyl & The Sniffers,Big Dreams,Cartoon Darkness
Amyl & The Sniffers,Hertz,Comfort To Me
Angry Samoans,Get Off The Air,Inside My Brain
Annabelle Chairlegs,Candy Apple Red,Gotta Be In Love
Anniversary,The D In Detroit,Designing A Nervous Breakdown
Antemasque,In The Lurch,Antemasque
Anti-Flag,You've Got To Die For The Government,Die For The Government
Arcade Fire,Modern Man,The Suburbs
Arcade Fire,Neighborhood #1 (Tunnels),Funeral
Arcade Fire,Neighborhood #2 (Laika),Funeral
Arcade Fire,Neighborhood #3 (Power Out),Funeral
Archers Of Loaf,All The Nations Airports,All The Nations Airports
Archers Of Loaf,Harnessed In Slums,Vee Vee
Archers Of Loaf,Strangled By The Stereo Wire,All The Nation's Airports
Archers Of Loaf,Vocal Shrapnel,All The Nation's Airports
Archers Of Loaf,Web In Front,Icky Mettle
Archers Of Loaf,Wrong,Icky Mettle
Ariel Pink's Haunted Graffiti,Gettin' High In The Morning,House Arrest
Art Brut,Emily Kane,Bang Bang Rock & Roll
At The Drive-in,Chanbara,in/CASINO/OUT
At The Drive-in,Napoleon Solo,in/CASINO/OUT
At The Drive-In,One Armed Scissor,Relationship Of Command
At The Drive-In,Transatlantic Foe,in/CASINO/OUT
Au Pairs,Come Again,Playing With A Different Sex
Audacity,Punk Confusion,Mellow Cruisers
Audacity,Subway Girl,Mellow Cruisers
Avail,Simple Song,4AM Friday
Avengers,The American In Me,Avengers
Avengers,We Are The One,Avengers
B-52's,52 Girls,The B-52's
B-52's,Dance This Mess Around,The B-52's
B-52's,Lava,The B-52's
B-52's,Rock Lobster,The B-52's
Babes In Toyland,Bruise Violet,Bruise Violet single
Babes In Toyland,Swamp Pussy,Spanking Machine
Bachelor,Stay In The Car,Doomin' Sun
Bad Books,Pyotr,II
Bad Brains,Banned In D.C.,Bad Brains
Bad Brains,The Regulator (Version),New York Thrash
Bad Religion,21st Century Digital Boy,All Ages
Bad Religion,Against The Grain,Against The Grain
Bad Religion,American Jesus,Recipe For Hate
Bad Religion,I Want To Conquer The World,All Ages
Bad Religion,Joy To The World (Traditional),Holiday sampler
Bad Religion,You Are (The Government),Suffer
"Baker, Julien",Sour Breath,Turn Out The Lights
Band Of Horses,Laredo,Infinite Arms
Band Of Horses,The Funeral,Everything All The Time
"Barnett, Courtney",Avant Gardener,The Double EP: A Sea Of Split Peas
"Barnett, Courtney",Before You Gotta Go,"Things Take Time, Take Time"
"Barnett, Courtney",Depreston,"Sometimes I Sit And Think, And Sometimes I Just Sit"
"Barnett, Courtney",History Eraser,The Double EP: A Sea Of Split Peas
Basement,Covet,Colourmeinkindness
Bauhaus,Ziggy Stardust (by David Bowie),Crackle
Be Your Own Pet,Becky,Get Damaged
Beach Bunny,Prom Queen,Prom Queen
Beach House,Myth,Bloom
Beaches,Blame Brett,Blame My Ex
Beat (Paul Collins),Rock N Roll Girl,The Beat
Beat Happening,Cast A Shadow,Black Candy
